,0
0,0.0
1,-68.24653
2,1377.64293
3,4025.75202
4,297.6606
5,0.0
6,2538.20882
7,155.49936
8,-166.21325
9,2797.85133
10,636.84871
11,0.0
12,0.0
13,0.0
14,-120.3059
15,-52.72261
16,233.12715
17,0.0
18,0.0
19,253.51192
20,0.0
21,264.12936
22,0.0
23,-75.95823
24,652.77845
25,1193.09326
26,0.0
27,2282.76639
28,48.05243
29,0.0
30,0.0
31,2758.45978
32,0.0
33,0.0
34,0.0
35,0.0
36,11.22268
37,-22.02468
38,140.90206
39,-146.65783
40,0.0
41,0.0
42,2392.87154
43,388.00418
44,0.0
45,-80.67034
46,0.0
47,518.15884
48,1173.5865
49,0.0
50,0.0
51,0.0
52,14.90517
53,1653.69571
54,-85.92828
55,0.0
56,0.0
57,-109.69361
58,0.0
59,0.0
60,2779.05612
61,-14.16193
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,796.38961
71,-66.24031
72,-38.32643
73,3834.99731
74,0.0
75,381.83058
76,0.0
77,626.88642
78,0.0
79,0.0
80,215.08078
81,0.0
82,1120.30086
83,238.61035
84,0.0
85,0.0
86,2622.79275
87,0.0
88,-166.74723
89,0.0
90,0.0
91,-35.35876
92,0.0
93,0.0
94,0.0
95,772.87673
96,779.70605
97,-89.75943
98,354.71305
99,210.7899
100,11.88099
101,785.86072
102,-44.12944
103,-25.34749
104,1571.72359
105,37.32564
106,0.0
107,15.4467
108,1651.52967
109,0.0
110,0.0
111,435.4048
112,6699.66773
113,0.0
114,0.0
115,0.0
116,-6.5767
117,0.0
118,-32.74784
119,1010.08541
120,0.0
121,3.61975
122,0.0
123,0.0
124,0.0
125,5690.1577
126,256.88621
127,-109.98427
128,0.0
129,-59.37049
130,0.0
131,114.22411
132,683.20567
133,0.0
134,0.0
135,0.0
136,-24.83767
137,-10.63678
138,372.79796
139,0.0
140,-92.57862
141,0.0
142,0.0
143,608.30157
144,0.0
145,0.0
146,-198.14717
147,-54.80381
148,1851.94928
149,-56.30858
150,0.0
151,0.0
152,0.0
153,-93.76384
154,0.0
155,1988.44987
156,458.1979
157,-212.93375
158,6989.26142
159,0.0
160,0.0
161,118.04098
162,811.57738
163,0.0
164,0.0
165,0.0
166,2632.63747
167,44.05122
168,546.26461
169,949.0879
170,0.0
171,-111.03795
172,-111.15291
173,0.0
174,0.0
175,240.12809
176,-58.93171
177,0.0
178,0.0
179,421.89827
180,-130.50333
181,0.0
182,-165.82659
183,0.0
184,0.0
185,0.0
186,864.40433
187,0.0
188,91.20795
189,0.0
190,-85.84527
191,1623.42467
192,-78.40241
193,370.51033
194,0.0
195,0.0
196,149.19094
197,28.27979
198,0.0
199,2359.88398
200,0.0
201,858.89757
202,0.0
203,0.0
204,0.0
205,1189.62785
206,153.00394
207,0.0
208,41.2231
209,0.0
210,0.0
211,967.73417
212,2472.37584
213,1413.49454
214,-97.78203
215,-25.52524
216,1173.86336
217,-15.96197
218,1138.40084
219,0.0
220,0.0
221,0.0
222,7033.32471
223,-82.20785
224,-29.00488
225,0.0
226,3275.1531
227,270.96123
228,-29.80882
229,418.98185
230,0.0
231,0.0
232,0.0
233,2155.31807
234,0.0
235,677.25082
236,4.7742
237,0.0
238,1460.01092
239,0.0
240,-132.81767
241,1674.15611
242,1973.73047
243,0.0
244,0.0
245,0.0
246,1033.51982
247,0.0
248,259.05237
249,0.0
250,-111.44257
251,-28.95905
252,0.0
253,0.0
254,0.0
255,1455.34066
256,0.0
257,87.05983
258,1046.68061
259,-85.1383
260,303.7399
261,0.0
262,3970.81788
263,1645.64571
264,1751.05632
265,-61.43609
266,0.0
267,-99.85248
268,0.0
269,1451.04442
270,0.0
271,232.87713
272,-27.83179
273,1753.3909
274,596.808
275,0.0
276,-48.11412
277,244.16483
278,1002.37468
279,256.07164
280,0.0
281,62.1135
282,0.0
283,355.73432
284,-33.68884
285,0.0
286,1046.68845
287,0.0
288,-73.00812
289,1784.74169
290,-17.78401
291,1588.41878
292,0.0
293,0.0
294,1473.785
295,0.0
296,6692.27788
297,4555.41389
298,0.0
299,0.0
300,546.4859
301,0.0
302,0.0
303,0.0
304,767.26289
305,0.0
306,0.0
307,-121.33427
308,0.0
309,0.0
310,3658.19005
311,-51.78866
312,1983.2581
313,0.0
314,-24.29674
315,0.0
316,2670.08731
317,-135.28738
318,0.0
319,0.0
320,-102.845
321,0.0
322,-48.48906
323,0.0
324,5.9774
325,1072.64183
326,0.0
327,899.02115
328,0.0
329,477.81676
330,484.0988
331,577.40631
332,2242.343
333,-160.06685
334,0.0
335,-190.62074
336,2285.00325
337,0.0
338,519.74021
339,0.0
340,0.0
341,-141.91926
342,429.88336
343,-96.79424
344,290.38993
345,0.0
346,164.395
347,0.0
348,0.0
349,-143.07067
350,61.98685
351,0.0
352,0.0
353,0.0
354,1520.94889
355,0.0
356,2722.91329
357,-5.67227
358,0.0
359,0.0
360,-36.58492
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,-105.8839
367,0.0
368,-58.91801
369,0.0
370,0.0
371,-52.66892
372,0.0
373,0.0
374,0.0
375,-47.32352
376,24.62786
377,-36.24037
378,47.59364
379,908.40229
380,0.0
381,-126.6543
382,-34.3274
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,708.82384
391,0.0
392,0.0
393,1546.81163
394,0.0
395,0.0
396,0.0
397,241.83858
398,3735.01871
399,-48.64422
400,0.0
401,0.0
402,0.0
403,-76.9092
404,-11.3561
405,182.23941
406,0.0
407,0.0
408,-16.76867
409,-37.80683
410,0.0
411,0.0
412,0.0
413,0.0
414,168.86326
415,-70.32389
416,0.0
417,2012.27118
418,593.69992
419,0.0
420,0.0
421,0.0
422,-28.09432
423,0.0
424,0.0
425,2039.2641
426,0.0
427,0.0
428,0.0
429,579.76308
430,0.0
431,2704.62323
432,636.54757
433,0.0
434,0.0
435,0.0
436,37.32617
437,0.0
438,0.0
439,-40.14327
440,1459.14701
441,0.0
442,2263.90837
443,0.0
444,-6.31535
445,0.0
446,0.0
447,0.0
448,-135.23267
449,0.0
450,399.83387
451,0.0
452,-55.0765
453,671.36956
454,0.0
455,1287.99073
456,32.28559
457,7.11219
458,-8.57311
459,0.0
460,0.0
461,-8.60115
462,529.9858
463,0.0
464,0.0
465,4274.16894
466,870.68711
467,1329.13167
468,-15.14268
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,493.38126
475,0.0
476,0.0
477,273.06593
478,0.0
479,-224.96328
480,0.0
481,-207.64478
482,193.44474
483,0.0
484,-62.15497
485,0.0
486,0.0
487,0.0
488,0.0
489,1576.60946
490,0.0
491,1180.85275
492,0.0
493,1378.60465
494,-25.6381
495,0.0
496,2666.42704
497,484.38146
498,305.21901
499,0.0
500,0.0
501,0.0
502,0.0
503,2773.47958
504,1709.85421
505,985.22889
506,0.0
507,2035.25738
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,777.12358
515,0.0
516,0.0
517,442.55949
518,2835.87915
519,564.91817
520,206.06165
521,0.0
522,1200.57277
