,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
φ_1,1437.2531912607528,11317.254319622129,103116.46486549746,28664.89226447199,5698.141186374991,-22221.649601126264,31045.987567494343,24888.048369145297,104730.13200755071,131183.95025598092,-12701.796912252776,17549.09690740784,3806.343186992847,23712.49018933068,9644.508058880465,12859.584631038142,8610.214838292242,8699.617765683419,5216.029129138898,4202.088349712529,5450.479665513456,6769.234526397801,2755.871751401926,2210.6956164612534,3740.21351009899,3567.541557143869,6686.28676896599,9494.736246719523,15632.832954935906,24788.599895670835,5078.178485442293,46.23930755081712,1350.209608526782,-581.891916125909,1524.4714679221302,20128.584245493956,28463.94191563453,827.5172319759007,686.0826669600182,516.582919346252,426.1948040974601,591.4578055942007,626.4545700728931,1442.6697845358613,1432.7189270510012,965.9572906096713,927.5029809019383,991.3288292004214,1136.7435830024365,1065.1622675712106,1145.3289691866605,1202.1903830869858,1275.141515044011,1410.2660741565119,1350.5560371530942,1592.6368104860924,1606.830940790822,1450.5397150013218,1536.5095443118898,1499.7683653265824,1518.612847194915,1550.318291901032,1426.3068847382178,1459.9508964635422,1357.0689331171918,1556.327553520084,1350.4253408437764,1121.1472211433972,1607.5909267631703,1601.8438212306617,1525.6673729486938,1501.711492912846,1343.6187322497376,1215.02929842391,933.2961186931157,917.0957940046465,979.2264320692041,984.6991621090132,1003.5325205792345,999.5040071709575,1133.4122202551248,1184.4408457757413,1201.8676491701954,1150.2141578113117,1116.3235619450256,1025.6757878789092,1034.2127588317694,1057.7939359241375,1097.2579853038148,1055.4399755043446,1055.6004589419938,938.6589939176292,1039.9740635563787,1052.09017883656,1185.8494629506877,1193.5981570517847,1209.899458856392,1239.557601948992,1258.4548839006682,1460.3058442919476,1416.3845496948875,1296.0412898162688,1328.135067834725,1359.6777771601596,1364.2716231069462,1428.2669682681988,1401.9294159365327,1313.7671185314898,1282.7918809722896,1233.2841460602838,1275.4572286554314,1232.8740366827262,1234.5832564586083,1390.2864961806604,1337.475007841565,1366.8361423034219,1264.4425545738554,1229.2726032782296,1125.4429103572468,1078.8638450404546,1087.2234615499656,970.6883922271688,970.7702903753534,979.0427145863912,969.4855922059963,1004.6828881938604,1022.2409010973342,1069.168433429941,1074.6599409631299,1304.7219729743767,1375.3245525655852,1301.9663457380975,1354.2908225310357,1473.1653259682955,1414.474902147847,1616.4960179124582,1576.815485008881,1585.9426444643696,1513.8761469758258,1495.7737072904642,1400.1048440269776,1567.179432476674,1477.1513281884427,1408.9247840059404,1402.3507469258907,1466.5737850344203,928.3099495384271,606.8431529955487,624.9349358467667,650.7178906531741,734.8510513101841,663.0010908719827,807.7664303978007,848.3061477478465,1110.8725952665934,1271.499403132482,1299.3121079158902,998.7352210059373,736.1926262748331,729.7453855040413,712.3867553804781,668.1270987322025,733.2595532831789,261.1218533481525,281.2753375886456,282.6704234942049,287.9746587986315,222.57008317580272,226.71477297654585,203.65793447345797,229.00563686505885,221.6795072133461,192.57041835798447,192.87859684927787,188.296337663124,183.6614521020641,200.91646895681976,205.80847834658522,232.74427024650308,245.69211695056933,199.0991693709667,262.87591585932574,270.7700330995406,221.676506405495,242.32347226771589,231.1347324915337,214.14606611804624,255.9603072530491,240.13011995832568,267.3163131349086,258.755332736015,281.4248450283192,232.36068210919464,228.2322967236588,284.6854282389393,335.2303156408668,319.42178136870444,320.9774287294893,318.83853984563643,342.1883810942357,342.19151394123014,323.9158046346888,364.63413150497985,374.3070898983793,193.09798662696977,69.2680977484108,76.8759691806567,90.91036436032587,81.31839871367634,86.57842111335827,110.13335575137373,102.9220167018444,95.70325229010892,80.39353398222555,70.3758355355612,66.22206876522405,178.16490054552526,199.01624311834374,220.4506331132463,220.35586778613077,219.0335895935614,222.68131026382594,202.86964396662816,223.19721751076227,231.22371697878398,219.24415990090594,236.91650237763017,243.65124339704207,248.67671018814667,244.37427046982694,241.48808460315868,257.9525264677038,251.25156062213628,241.9329266590161,251.58266883708112,244.1938616158827,241.90498839234493,228.46141064837698,221.13592794135818,211.48704868894703,237.70674822372172,236.88053371962255,230.20260695346084,228.0313437473094,224.59342815078475,210.31050836997335,207.05812531010966,184.93059204785123,172.88531489563402,135.96110558128706,138.9437463300992,137.38818983130832,144.51699813830885,141.7306470575552,117.41572321617802,110.59711678973753,110.34268874090587,115.13301977837939,109.14547553907971,103.53786667326284,115.87025182014236,114.34456426404229,103.45285067349006,93.84165898986963,131.03066000411513,128.6328899043745,118.96099265957199,115.10154662416129,106.81725451443887,103.22122723143332,99.86200833390272,99.2845880418647,94.96933145330378,88.20613658642102,112.27005510185627,108.50751306415559,94.96701932384303,92.68588673828573,98.2690000301557,98.03116956966143,88.68473759509178,93.99412121169418,94.10131940824219,94.11864266543499,95.70265127492038,89.87431509147893,82.70468644827831,84.749428398942,84.19582925084433,74.62499339946432,62.54620126068502,54.124599705824195,55.770487002933166,51.392433646118285,53.83071115453547,36.5739877792364,34.65868458656544,26.270406904106157,12.735537703687003,0.0
φ_2,664221.5096972594,729643.7355919617,453285.6605179537,443223.70088905183,464270.4402673903,417371.70622524695,383108.57037846383,436545.79524502537,277264.1122549247,131183.95025598106,247323.14844696567,82815.72846365333,88412.091733126,56395.69207916412,81876.04740497598,77987.98088461932,81049.63413071554,79075.71674481424,80798.58715058379,74234.11808632541,76698.18507451232,74738.7427592818,80635.87625934563,78008.13675190455,75904.26009895571,80785.9575354656,78319.48862333827,73350.30044827318,55451.375073866046,44466.21743917011,59946.7868807575,60379.371347026434,62094.73858266308,62013.18226052314,63742.903663311736,33139.90858846517,24537.484882720022,122.33909268505158,181.66064351300793,459.86820643586657,617.6365581098207,290.6554773329858,313.2272850364602,-1465.6889466048183,-905.2287399019324,-258.1790718691678,-339.9028457798627,-290.53881689313494,-129.5000008489369,-127.79177559359891,-129.56911877236428,-114.8757936076222,-21.804409716120063,-117.46642002332192,-180.17026595423602,-464.72420045929084,-693.3593924418976,-663.9152863726833,-747.7922101632302,-760.1125740116886,-819.7985765590743,-614.0423689797614,-627.9820539461832,-846.2823343717996,-858.781443062156,-1261.3756337770783,-862.3621006489349,-1037.755916885379,-1102.810385316004,-1163.6926872848178,-1081.9291223662779,-1078.5927804307316,-1178.6079881936855,-1210.1770294054961,-512.2014036690101,-419.9396139939038,-458.9965945887847,-431.6110731833372,-604.998357396542,-663.2978432536622,-947.3459651687725,-1155.3035353833347,-1175.9312127351584,-1085.399744214289,-1056.494901336213,-1078.431874246649,-1389.4353305385416,-1405.9834238189137,-1464.5013493109334,-1479.5470784729825,-1494.3822836161344,-1274.570639203378,-1522.0375717229078,-1409.4536730470543,-1618.24163252407,-1632.868624574852,-1690.3722987614055,-1747.065426411013,-1668.2146414308859,-2035.4946461372924,-2039.6336489701566,-1860.2936021281284,-1841.9156080008474,-1901.1591775508005,-1959.1152602758743,-2076.3435839700787,-1226.2611446600686,-1183.3141089932699,-1133.6088718180445,-1096.9848242674964,-1162.2898432712946,-1178.500903238123,-1094.9885122984167,-1328.4490451890042,-1249.7810056622263,-1245.6847240228235,-1170.891492816939,-1156.028717707405,-994.9659222904199,-1009.8863729572042,-981.5587036849172,-735.0912388955305,-781.8444547712882,-775.4024045201352,-761.0933395962311,-727.7720784433079,-720.5476768776359,-797.532215484388,-770.0791117656296,-1049.7632472306618,-1327.6168883750647,-1206.0660787198808,-1330.0094163175224,-1416.1120939307336,-1372.5614737813655,-1626.9862885152945,-1584.5199778929066,-1522.71398319594,-1470.0500837539348,-1460.9313508566217,-1387.437738780312,-1624.1843290235192,-1585.5642350430574,-1585.574153793329,-1230.4451765329227,-985.4653396217014,-930.1128969997224,-1975.3759461926238,-1937.6444562397057,-2028.85639064695,-2141.138465855085,-2062.046032280969,-2224.6110397438433,-2312.2559146196145,-2681.2100768441037,-3002.1679391488165,-3178.2428875494475,-3281.0001273714656,-1570.7679083726357,-1640.864360379041,-1652.6303810250356,-1629.0108492456648,-1664.841883019758,305.15198427691837,274.257157184118,305.1336424714871,327.8342107640489,339.0964536262776,332.50233990173314,425.43630676332407,368.21591004657506,402.85384827272276,443.9474163036118,429.09285799489095,405.37887830706586,396.28779211860035,414.08099794099724,437.3868990599775,356.07389759286906,409.5106766446344,412.33923593278104,386.73830510431924,393.34673126043845,413.970769220648,365.9521216456758,391.0998591653448,381.1521184516193,352.5845537552305,399.32980619644434,322.23960039434314,350.0740950476941,300.68616673409565,306.9333384981842,290.2345524615554,210.6528346518603,209.5474028934999,211.65796953807825,175.578924478693,168.12024102870146,185.76323466364556,191.83753839741564,202.47176990048246,167.99117899404536,162.22300085284758,192.5294231267122,126.1100642611004,112.38258291264269,109.73294773996184,110.37534378683478,86.69624316947349,74.31960589897832,71.1126566232173,69.94231169289725,77.59745463586927,80.9975638337774,81.8942302375983,111.30494582813839,47.523683634621165,54.67110131999553,58.67462914562225,60.244842970901374,63.77581761888243,57.8957674643445,61.190021152527564,53.37239882860017,32.51005237189058,15.438902436121257,25.623405067387022,9.363472684093118,7.274170966162904,12.490755347756924,-7.278257725716921,-5.949925799645332,-7.860837101300408,-27.899753332483005,-27.579480158696853,-33.31093469692846,-24.602993084202723,20.622901851940526,29.849782596446445,-3.929060531422884,-4.415149731604146,-5.413156608758406,-4.155980655193318,-2.9046619664795763,-6.309200598862054,-8.114568206304476,30.512289521584123,35.351333993117805,87.65148491232677,94.24694425478766,96.64499867587989,104.32949261495907,101.31542334232893,86.79319248779103,87.11995661641987,82.88084835271256,87.49884606869053,92.64388012015378,92.55285695707869,65.8620917270898,67.15821255658209,87.01664240081254,93.36201247985261,63.427225482735594,50.074295630684986,67.22432023970244,69.62553134007189,75.29955858012843,67.10909045785685,68.55688317688242,58.59292359583511,58.26578527673385,55.85213339016103,26.00136620930912,33.198611957669314,43.13740045148849,40.06729424738448,26.782099028582486,32.747450320569236,50.458146799560005,31.02209612799011,29.22796925261363,31.293431992891733,20.25856867875235,20.394411344896312,22.949503723181298,18.858628746665197,18.081545460514064,20.173941307005492,27.280689058917055,26.341555481765898,11.85418801860905,13.608903242040192,5.137566140428539,13.256425049722743,4.473790263235338,3.3323067311301324,6.624578272760329,0.0
φ_3,-361927.44682580454,-641594.3579821097,-100162.28976420173,394369.13367101713,518625.2729913842,830207.9495428877,786686.4453432406,636659.7171001044,390453.7186961168,207998.64346419947,480755.4014263319,239906.0168565993,321423.20712158264,360878.8999954646,302704.04162955954,352187.870992969,279431.9149185689,218410.33982953365,-14925.736126081023,59905.47977747665,21722.501334027205,20535.178405695147,73156.05138457652,79889.01508032966,103614.58000619567,30157.61402227476,4287.777354812144,2.6193447411060333e-10,457108.03101443395,405993.06717101985,308282.3138518875,191233.9415057871,117729.85834450471,84083.64322895327,-83883.76789644621,-32864.76910088157,-140523.42303107568,18601.435574693125,20650.05789212538,18403.32319466035,16765.61225389549,17298.462444585464,16640.13222654045,17631.841857726366,20425.165782112745,23124.389575131438,24407.028132650627,23453.45162253397,19038.85668882628,18796.588629169968,17870.370809333934,15593.331648165895,17089.50230740932,14725.82390745091,13135.360306300881,12495.876074833857,13825.235260736354,12248.684317233183,10566.639351201718,7259.574277391694,7016.470299926369,4575.3557002678335,3058.7974652316457,4399.328222328344,4320.999600590019,5580.9055472322625,2289.6595160393445,4643.554503666427,-8.464414926137456,-192.50879463227787,-1304.324263289171,-6609.0822019114075,-1021.1354416722955,-5104.9398223442595,-6126.540538453768,-4119.402315592765,-4941.84808686373,-3879.023559828403,-1810.6422422006458,-2517.07993615713,-4383.923962401681,-5267.63114924425,-5525.610435838311,-5454.877570655846,-5845.777425324953,-7631.391942623429,-10129.276298957791,-11431.920264677721,-9271.67987940561,-10002.833309150386,-7098.413314187688,-7842.435253235831,-8859.52937314616,-9680.203453006417,-9552.427414726022,-10511.593092402547,-6538.750883781317,-7902.077205450106,-8889.185328448766,-10249.96456789832,-13603.360561247364,-12585.420648506803,-9916.054839913806,-9706.374235193067,-10495.418186832128,-9930.557622898345,-3554.0332243080247,-3461.2239810970686,-4171.084310392265,-5291.7991544565575,-5462.459219770213,-4081.4534882783996,-6463.918242949101,-8439.964698846861,-7852.682133643687,-6516.707937785347,-6908.718569639804,-6086.705157993378,-6963.910413962398,-7883.419193770143,-7616.8758228640845,-9592.808267775594,-11619.233248672866,-14212.058761999846,-10561.138744942398,-13275.804228266052,-11468.485971703232,-14035.559404802674,-14300.945116279583,-14071.742667236596,-11140.229692964074,-15451.683059533738,-12514.76367910025,-15047.068597470136,-15531.03435539379,-12502.12338057466,-12887.732466930842,-12102.911815613015,-11629.920601933774,-12290.961933848313,-16378.604548501857,-19395.91608596278,-19120.00753742666,-21395.32809905902,-24128.752934497934,-24139.48983387852,-22746.570530968336,787.3431464428865,461.1996350376599,700.3726889390907,2535.478278918577,793.5170582196606,-1522.9674853379104,-585.76660800267,-618.5581969193561,233.9621175628109,-426.1294067695034,-1367.09497794907,2064.9679835229645,3786.793587780608,4601.425822927502,4481.864946213971,4328.205689473146,1311.9874023545492,1070.0660211689938,-116.6391569339856,2227.4749348283626,838.6545555374513,626.4800862499598,783.4637834135657,859.5602108100247,1358.792313002367,1708.6845949467738,2401.775452162959,2795.4365180029044,2032.134842311304,2395.088462132723,2468.439994771039,2989.4657513344873,3009.242158029651,3868.1848958290725,2594.4946090337967,3610.142125607634,4958.763963195701,4724.442864206803,3305.8717165794624,3356.400312897176,3762.253790226508,3127.4725271776488,1794.0086833208454,1444.7515382301747,1425.6732527065997,-94.66065007376336,1174.152710216536,1396.0646465521595,1196.066322694746,1479.3790871576973,1570.013594972275,962.8563983437507,2416.3842962194194,2694.653088796733,3017.3204568404585,3070.336381011927,3732.860258333874,4352.774373175925,2081.214152802955,1269.092498222109,1139.3979022903936,1298.246161340142,989.6480673156929,1207.372971991839,1363.5578221010799,1271.1643182354524,857.8491596880549,635.5798686380052,414.509307322898,-882.7095419036834,-703.145223409292,-1090.154562302779,-917.162326829787,-1395.044251898066,-1301.3573579832216,-431.3987568504345,-224.16772903715244,-129.31904001807612,-48.50267924672756,470.64523081798427,357.88930656902517,30.75920077464028,-295.0123213112844,-906.605042902182,820.9195365286783,981.7267965477553,894.3184808014811,1113.91869815221,1425.966729401396,1257.603960626222,1854.812356865908,1862.4126341198785,2294.9462904208876,1640.8422393737205,1440.840854191554,1082.86544297844,703.3815985178319,500.375031604684,739.2061526090325,837.576126780685,-355.1169185445577,-849.4199783814577,-915.7928565630334,-1039.6129789768413,-672.7509230491833,-596.4391828271733,-796.9718949831612,-293.1744038039217,-637.7556305861054,535.7572384295223,139.73467601727927,177.20228947098914,121.85276499513218,1579.4663327039787,1411.5500903411335,1381.870859963539,1459.1827654631668,1591.0689681034125,1585.1687739819076,1148.8044351367869,1168.2994898350041,1170.9419199762067,1164.4295640847179,855.2929898739109,1192.6270786679577,956.3919268491197,1030.5004441089807,607.2588609228161,367.66471122495363,310.5834106338553,351.684274375613,498.0177636197213,674.3475992711914,446.524918222766,463.4731943443407,507.28972302366384,471.2501231682485,235.25812562924162,142.7540597840433,1.9907421325512464,80.90087635267915,-177.5259167441567,-465.95132557376024,-321.86845346121453,-511.31976641739266,-557.5837854467425,-625.0332604024155,-337.476236274077,-343.33222119592716,-173.74636192896284,-51.572509135474014,14.27263888090459,0.0
φ_4,-412939.1548522288,-902341.5924493284,-567515.0733027703,-357100.68709494174,-304184.50066739775,173530.50484187232,155913.09673191665,-109789.77892417989,23775.072425238555,-77291.30146563996,13875.607383188555,382408.49026070227,359226.26686563034,315524.3885494664,277045.4006255847,182911.20148176153,110969.39994678006,135473.58961808652,132920.3993933904,174466.29320414123,163946.93310155216,180271.25849958402,142427.2652733713,138942.03510714564,154991.75685785868,164523.77400620026,127034.89692891801,67851.5542679082,86309.14067368128,67099.95768699313,61717.81564686952,74281.37042160338,101174.22297739572,115090.47884921769,113507.34287605155,79894.42581048016,3666.7625598614895,20490.404053256454,20299.23348000294,20867.013009329206,19903.626377612643,20505.810662602555,20874.14421213891,21227.461644838342,15620.208671006048,15256.795722125333,14752.1015577162,14542.56485585456,11525.208361769488,11910.553375504564,12023.565638090695,12410.528116511785,11972.509161090193,12283.463503338176,13036.170037317837,13226.637402978571,13242.145242435561,13600.250982558442,13787.922132909182,14812.589097450098,15002.44382050992,14359.788129179065,14691.022180810727,13978.183859795197,13084.324054866602,14438.3811682047,13564.25870126214,13027.276977041029,13878.3064605493,14257.603377787676,14436.97707746426,15514.572199923,14823.537355481554,15322.69500441918,14203.455325973495,12865.898674996948,13104.474832295446,12842.758794363315,12786.52181515559,13091.137387212313,13660.025864627596,13118.965127291556,13537.637403869381,13547.740053254607,13496.523108754289,13949.977027363517,14174.847072698407,14504.98645840298,14382.245609432779,13955.587053396699,13955.145379229814,14310.789623898076,15214.679309357638,14644.251143951387,14953.398903688387,15697.146386171178,15005.478777059445,15526.698500175988,15101.715384134206,16145.534965714105,16680.970696173958,16212.826965285143,16534.22549501472,17428.904347028005,17871.497747184054,18195.61276137867,12359.318248707566,12731.90452534196,12550.07106135393,13028.194034009382,13329.693322871466,13528.512027879706,13821.710217901376,13892.531787230586,14186.907700028589,14213.327602937381,14603.005511833688,14699.537050540957,14872.214243729757,15287.555749387902,15497.416976787134,15718.468370332352,16635.822385979372,16795.822210577906,17203.58024458892,17684.331055150164,17758.59559808039,18058.550452544696,18628.054525205764,18963.595935160272,18789.287618775576,18839.32875413569,19334.144063875585,20034.58024226607,20291.272161538305,20653.160002943605,21037.238874053084,21269.6714255808,21513.79230036326,21855.992064042413,23012.298685626185,23777.7043470431,24304.569376354535,23977.76376044751,23171.216422655754,21837.60051185854,17215.1977670629,7226.522125998103,7394.281388559876,7657.050470610197,7689.435413011762,8083.6313479246755,8403.651144306743,8444.044682499713,8500.773320656312,8399.708978792529,8235.421281234394,7213.466441000942,5428.375938145609,5441.534013673984,5548.376536297025,5613.330644124646,5361.103366894574,2791.0703529767984,3049.585513701787,3158.440766253108,2417.3990182827683,2708.2953413200935,2880.901688065643,2616.522331884648,2801.8077472322125,2811.690799968745,3046.151959088284,3335.2528366158467,3244.279773296964,3320.6217168512235,3234.2228987274666,3275.113797328083,3610.8520563460315,3303.10872361661,3154.299364656858,3093.946642856665,3035.5534178303615,2854.4573300720126,2793.3350426200027,2996.948093305407,3124.776886459556,3230.576121369684,3111.0975241684655,3404.761862760262,3692.012470653365,3715.1884151773706,3597.8815093549424,3621.9009837321382,3581.8334423890815,3715.4596980124043,3791.2410062724425,3671.4653268485085,3929.487394350732,3641.5138608515454,3578.0846890815305,3823.779860654988,3556.5865711180777,3684.1169976214933,3407.638414309463,2206.9543932994948,2398.691335820453,2254.281205569102,2281.321093765759,2412.9458167722655,2322.6869679594142,2394.91865542201,2467.617001449422,2596.7862868168318,2683.7932940432015,2830.2025213634556,807.75109718267,636.9719328405301,775.7108835358979,778.7241138302892,837.7360821623537,871.1914269616717,651.6953488809514,735.0929843877531,732.9768683942666,539.7105539176919,431.021079519158,366.87517507451275,560.9187931088373,644.0680688741382,708.9343975768593,459.9426060865817,441.25529683877045,527.0344781611344,530.2296045645174,554.8710308756639,552.7842597059328,414.60119457703973,483.1386702429836,489.0854367789101,336.2507119332606,356.6852315399464,423.0793829426887,437.82937068893756,478.18773455196396,516.3253121542813,565.1205196899425,723.7438745629286,794.6641655060754,829.1628292056736,838.3561752166748,771.768257636464,663.7040352970737,734.778189407253,785.884406762837,844.4561469288552,697.2366058565533,672.3467051691806,571.7334067268466,609.2638249756607,338.55239725436303,271.5734172578158,316.4341394046802,294.2050012289865,257.84279226795275,313.2906609291049,287.07100733338484,329.85961076213636,332.4526146346231,319.3898779310821,285.509253454422,208.59133074424543,227.08082127459733,216.07216410650423,217.96935759395518,179.66375125597878,182.01432418707054,102.74939019291334,84.92286833696338,66.66690122558585,82.27394310428404,72.80370098550424,80.56429522486918,101.46972186542371,105.77591184461807,122.11824144400403,105.65503060678854,82.34832892235232,89.69674611489471,125.03883158031984,90.32850354675648,137.32023367121482,146.61495276589838,178.82373641992405,76.41163806465143,59.94292135046499,52.505565577846596,40.21619372497474,1.0955018083593488,0.0
φ_5,187206.46781310954,92788.50482589394,71106.05728692353,361008.8822223272,2930.326123888881,0.0,-132638.21293208952,-175484.3808919568,-148537.21209157535,-74730.38188619007,410059.85647537035,323828.9842916578,-1230.7338078149332,11488.111971140432,-45173.83640750801,-41373.02215156262,-32649.299023165288,-7539.080037582724,-6407.237197647522,-1297.590431643781,0.0,-21414.029854548484,5719.215642207608,9951.79641797658,4634.965180232608,-5586.338395554559,15408.268088307186,-21718.259321301048,-4462.043267406947,-12518.161523997862,-2398.7405224266768,7739.705876838107,624.8398934269453,1522.765856830396,-980.9828049016232,-8366.585062050854,-29778.706319104833,119147.262028482,-1586.194549280211,4.464478764207001,-607.689771170588,-75.20208351960352,-95.3439375370715,0.0,-738.3072609463795,-259.6597237177437,48.30710988645575,-320.25680244755233,-746.5879903813594,-1098.1237808131905,-137.37000384952552,-125.3717077750519,28.018929339740083,-204.67700458423988,102.4426253000457,-281.22749057409305,-909.5229540186904,26.41101576305907,0.0,120.9310770234301,93.79780910918687,-365.58725336286705,71.09909206741747,219.39455173120436,36.050550000403,-583.4510156058207,-110.3632343439767,423.4193677215129,-180.99750276048113,342.26433961634905,0.0,70.3730793419045,291.0323392278688,274.44039051975847,-377.4755873798048,-437.2439661876449,-40.92266113056755,-196.93377843583517,170.3944148768242,105.3617816666393,123.89976181895696,218.98923739727792,13.089872615318384,-53.23914802344558,34.34028377946157,348.68635184657967,571.5507403566894,-62.368211154227936,0.0,82.42863240861539,14.432561918264383,-323.6971827941615,-2.8310399744435983,-184.64517438214685,-30.147099715715427,2.9161508754737895,59.07178033049264,-68.98786407987082,-172.30249877384284,59.652113274699616,107.98431834706248,55.31774450207433,0.0,-1.9764467291714958,38.29220963642388,769.1389337724054,-1134.0800219679782,0.0,164.705006976011,114.52089495789437,-72.55186277544522,75.6947090810687,-127.73321611300673,13.595763148998373,-6.815196544829334,-31.061524638215445,-28.51694843721576,13.177220896750441,-202.7423051188445,-12.459953955084522,-78.2580543497055,-40.253491932611624,-52.55214945370487,-16.629334879583638,23.091991580857837,9.027600390187978,4.377366199371078,-21.466602828480518,-158.2408117911446,-21.77278673385831,318.08147783459185,88.29004951859676,22.799826566678348,-58.74776208907764,9.1421791874922,57.784113496397566,14.956971521519222,-45.122104552004544,-72.49396519384655,39.53466659976584,-13.813415205592804,-74.8243437188661,-25.074457274791598,69.54660567238332,-414.23783348490997,-509.40841073950514,565.1978561535905,3183.609746749051,-60.77540977223191,0.0,3.9569036334257817,5.163016823805265,-93.68614859354119,0.0,-3.813615216573453,-194.61353067036285,296.48732994474494,635.9949980848085,-1938.1665760973463,74.48171512004649,145.18950599024373,128.8748321728196,-182.4325701367523,-1937.644763394949,-52.233158661086065,0.0,-115.58348489904978,0.0,0.0,-73.92630359982422,-31.87170674015539,-31.18000542287062,-60.13638851758338,-12.611640383158026,28.959103218301607,45.003816399460796,-17.237645670610675,-60.09827850736093,-83.19315909996055,-55.196772702660724,46.19226717119079,-67.43656012166596,-60.34846310376962,45.02403986511404,85.64888799149546,-18.679184675673866,0.0,-21.5480909728765,-59.58684088735882,54.41291366010783,-45.128420928587495,110.45038058181342,181.43744561875315,-19.792010400464434,24.782052100382145,-102.5452552080638,0.0,92.51208007182936,-70.5364798241126,-28.43451797306645,-29.882574848825996,-1.3491597464192466,-23.763276435348708,-79.40519424904048,508.6172851444083,688.1530412344545,2.8033003584357203,-70.56574357726578,-21.36779703055923,0.0,-28.038391743932323,-39.89186825479054,-3.919085948560639,-0.46225448274427094,-4.183556140324029,0.0,-407.89594375574256,30.470056861677286,23.357569498146574,-18.134810094160258,0.0,-21.91998340220737,28.216857074718195,12.597132974561283,-24.863516993712107,23.370474096583887,0.12405514267434636,-18.225686679803644,-14.931854373061464,1.1649107097526112,0.0,-20.20869668402719,-10.157301485491441,-16.150079966058918,0.0,-12.234540404540098,-9.881172301976587,-5.196288430314361,-37.94952787277062,-14.323455585483494,-48.6697676503417,-44.23370084557418,-75.06806403420538,0.8007619504246266,-24.108290837987894,-12.276237770474655,-10.305787287574203,-26.90018297734089,4.168917110923946,-15.379035769453818,-18.086646526499827,-11.680640956205131,-41.98440222920669,19.081819457271884,93.56832572836161,57.739759898175606,-2.8171076282480243,-48.57295250523976,-36.27286683839421,0.0,0.0,-11.616410982988365,-24.830020597892876,-21.194144029879865,-29.79151968969232,0.05663576530027292,-30.149257545618557,36.18264208154859,40.59761651791321,-17.704883749728467,0.0,-7.743288999479736,3.2922687025318496,19.083850982742995,-29.158656305551865,-26.24967832557841,-15.88467170948839,-4.600179993158082,11.890411424617477,2.154520072353564,-23.97752138909492,-11.27138993314531,-5.415004211367751,-0.7850109551114599,0.0,-11.082797956484622,1.506506129099506,0.4604594353762145,-26.884853454030974,-10.952144651006302,-17.793576215094177,-14.224562999026436,-6.348836454950107,-10.021206272172138,-33.9890253480494,-18.50293006540793,-20.24276506285357,-15.81155075873398,-23.060474606946972,0.0
