,0
0,3297.78019
1,1234.94502
2,0.0
3,0.0
4,504.81954
5,227.62975
6,-74.11356
7,-173.06224
8,867.81351
9,280.81544
10,472.83331
11,361.99468
12,595.48269
13,350.67281
14,980.56452
15,-103.09337
16,351.9449
17,190.77679
18,-164.94808
19,-118.17911
20,72.33847
21,1584.95534
22,326.44857
23,241.82995
24,103.17743
25,534.74204
26,18.80094
27,-15.38122
28,-106.5726
29,-97.58375
30,-34.31812
31,855.18135
32,0.0
33,-1.8202
34,1250.26921
35,-40.84611
36,-209.58634
37,49.05737
38,-34.38412
39,750.27676
40,0.0
41,0.0
42,-93.66073
43,0.0
44,-3.27709
45,-88.23676
46,-152.60038
47,872.67373
48,191.7896
49,-156.02372
50,1053.99855
51,-161.33385
52,-53.78787
53,119.27487
54,-180.27472
55,419.71112
56,-64.92946
57,-163.34432
58,843.31563
59,702.59698
60,151.18937
61,3554.71455
62,0.0
63,0.0
64,0.0
65,1162.93512
66,0.0
67,1181.89009
68,222.46031
69,72.04924
70,763.65993
71,2872.22179
72,-180.69666
73,0.0
74,631.28077
75,56.97287
76,272.62922
77,-158.48722
78,556.60924
79,431.48007
80,272.56952
81,69.70351
82,-21.4914
83,1919.11602
84,490.22479
85,0.0
86,69.52309
87,556.85217
88,-119.13632
89,311.06566
90,896.47993
91,5506.53146
92,46.35698
93,1009.17766
94,-220.43702
95,493.38316
96,180.98982
97,905.408
98,698.35516
99,-40.29947
100,0.0
101,0.0
102,-169.50859
103,0.0
104,0.0
105,1106.18759
106,48.53453
107,758.34759
108,0.0
109,171.46226
110,4234.73268
111,0.0
112,2481.5535
113,0.0
114,6058.21931
115,-190.66499
116,306.65113
117,0.0
118,0.0
119,-34.88845
120,-139.60403
121,0.0
122,1695.13319
123,5367.85821
124,-52.65726
125,1912.06871
126,-193.59984
127,-99.43665
128,958.83869
129,0.0
130,-106.23051
131,0.0
132,-191.17235
133,0.0
134,1532.71795
135,-53.61038
136,0.0
137,-105.25694
138,92.43566
139,0.0
140,743.72268
141,0.0
142,0.0
143,4834.65389
144,620.77094
145,0.0
146,1210.64943
147,3111.5218
148,1359.5975
149,1392.61016
150,-19.298
151,-19.17671
152,1991.49158
153,0.0
154,837.66669
155,-106.4021
156,0.0
157,25.20458
158,212.80227
159,565.15091
160,-168.98759
161,141.84244
162,-175.21166
163,678.61174
164,-85.7072
165,116.91513
166,138.49839
167,798.21401
168,1171.49687
169,160.54633
170,3120.6632
171,-117.37219
172,1619.2887
173,-25.90954
174,192.53517
175,206.75716
176,-218.69279
177,445.75969
178,2112.31148
179,-100.28164
180,0.0
181,1930.94401
182,3089.29771
183,-80.69853
184,763.73109
185,3725.11562
186,1211.33449
187,135.74275
188,229.51343
189,1742.03049
190,-191.39465
191,-121.00041
192,-192.80174
193,69.94045
194,935.73762
195,1306.54672
196,0.0
197,-17.96927
198,74.28496
199,99.67372
200,-98.9539
201,824.10881
202,0.0
203,963.50839
204,2.5041
205,-12.44467
206,0.0
207,-229.57029
208,358.15785
209,1310.64349
210,-185.04817
211,1408.47767
212,884.94676
213,1971.20604
214,-172.70719
215,0.0
216,-125.67983
217,400.64599
218,3722.80559
219,401.10844
220,-68.538
221,0.0
222,-136.31353
223,514.42222
224,258.10246
225,-117.99823
226,113.71599
227,28.3947
228,1049.46815
229,410.31609
230,0.0
231,-26.26047
232,0.0
233,-168.1209
234,302.69452
235,-165.0615
236,245.09658
237,471.96367
238,755.20406
239,239.30134
240,-30.52083
241,2619.91614
242,1019.78268
243,181.96638
244,1850.31566
245,-129.52825
246,4488.81404
247,39.72891
248,-220.16335
249,-34.92396
250,789.73238
251,-106.53437
252,1235.65984
253,0.0
254,2457.36102
255,0.0
256,3664.65438
257,-84.27255
258,2883.38787
259,-53.37897
260,83.42194
261,3412.23269
262,-3.31092
263,241.40646
264,2751.78674
265,585.61053
266,0.0
267,60.78007
268,482.59851
269,200.35736
270,-57.11452
271,-64.30718
272,-23.5108
273,0.0
274,-119.29895
275,-22.9675
276,-37.78609
277,1245.35764
278,0.0
279,16.37914
280,935.78722
281,1911.01848
282,63.97429
283,0.0
284,1217.32744
285,2.93032
286,57.62621
287,528.46708
288,184.92644
289,-6.28608
290,121.85908
291,69.09127
292,0.0
293,1576.51152
294,0.0
295,0.0
296,0.0
297,582.11374
298,-75.89744
299,-181.00265
300,740.76213
301,134.84631
302,833.33865
303,0.0
304,258.08339
305,1147.90888
306,253.25358
307,-58.6116
308,0.0
309,0.0
310,437.79843
311,-3.41272
312,0.0
313,-156.62115
314,2410.99743
315,2272.86332
316,292.91089
317,1321.38803
318,0.0
319,0.0
320,-158.99951
321,-137.19743
322,32.4537
323,0.0
324,546.9061
325,122.89855
326,-39.70504
327,453.17617
328,1724.3079
329,1704.24189
330,2350.41417
331,67.86657
332,364.91884
333,994.91493
334,1126.11
335,2445.76968
336,221.2645
337,227.16873
338,524.89654
339,-19.42377
340,1475.82576
341,0.0
342,213.23752
343,752.9128
344,475.58993
345,-93.81634
346,423.59055
347,3845.62043
348,-48.99288
349,-0.30925
350,570.07976
351,1603.14487
352,-27.41226
353,366.63843
354,-147.30489
355,-184.27409
356,1018.54608
357,0.0
358,-139.25475
359,2973.81168
360,226.38649
361,1659.37692
362,654.32137
363,0.0
364,-78.74704
365,1879.12846
366,165.66683
367,1512.53171
368,4433.50978
369,0.0
370,-111.07244
371,-121.68183
372,-163.85791
373,242.54926
374,0.0
375,-69.41235
376,386.3814
377,92.28828
378,-231.94638
379,1031.46147
380,232.21622
381,0.0
382,0.0
383,0.0
384,1492.54281
385,-112.0181
386,286.78811
387,576.7312
388,0.0
389,144.53402
390,158.62529
391,-1.01652
392,0.0
393,1622.85314
394,1847.96692
395,0.0
396,-74.53366
397,371.81488
398,-106.8827
399,35.95251
400,763.81488
401,23.6653
402,1637.19076
403,1307.59032
404,0.0
405,0.0
406,-49.18378
407,0.0
408,0.0
409,1814.44771
410,-12.44669
411,452.44766
412,0.0
413,1180.59703
414,0.0
415,1374.02156
416,-165.94497
417,628.79327
418,-186.95868
419,0.0
420,1135.29162
421,0.0
422,-50.63755
423,494.49103
424,-188.50741
425,1489.33958
426,-168.19331
427,-84.82997
428,297.41695
429,3290.59403
430,0.0
431,-29.88842
432,-119.41316
433,17.66433
434,189.66929
435,5053.35566
436,0.0
437,29.83369
438,930.40309
439,0.0
440,0.0
441,0.0
442,1527.62586
443,458.82635
444,854.86102
445,995.63556
446,-67.99114
447,0.0
448,-175.08338
449,-3.08439
450,696.57509
451,93.88018
452,907.13975
453,-164.37042
454,1360.24976
455,-52.66503
456,-73.6127
457,-112.57004
458,1978.03384
459,2956.37159
460,327.84458
461,-27.12775
462,318.81096
463,840.69762
464,-0.7026
465,788.02014
466,-89.17013
467,156.30401
468,1551.77472
469,880.73128
470,683.572
471,1443.91009
472,0.0
473,3329.82145
474,3168.59271
475,0.0
476,304.87002
477,9903.50772
478,84.55811
479,60.52246
480,1609.0
481,-191.20388
482,0.0
483,8345.931
484,9891.44159
485,199.63662
486,-160.49407
487,-113.84384
488,417.54495
489,0.0
490,56.07792
491,-45.00972
492,203.71015
493,0.0
494,2697.02769
495,330.54438
496,378.89088
497,437.19163
498,1488.36558
499,0.0
500,744.26757
501,2728.35022
502,-26.69885
503,655.24428
504,851.91601
505,-38.29269
506,0.0
507,406.63033
508,670.24951
509,0.0
510,184.95423
511,356.91084
512,2201.377
513,1087.22469
514,-133.68759
515,4359.18288
516,0.0
517,-196.16929
518,0.0
519,465.08295
520,2406.85871
521,515.52959
522,1419.04771
523,0.0
524,0.0
525,1126.20182
526,-141.73545
527,301.80363
528,3369.59006
529,1144.8462
530,64.40711
531,307.17527
532,0.0
533,519.59007
534,150.74867
535,-56.96546
536,427.20488
537,-122.09326
538,0.0
539,-146.60379
540,0.0
541,-99.85909
542,697.78491
543,845.62073
544,0.0
545,-58.0274
546,267.06036
547,161.49293
548,1452.51627
549,0.0
550,-122.97474
551,-73.5583
552,-30.18807
553,-44.56239
554,-28.72372
555,0.0
556,1152.02821
557,-141.50517
558,9.50261
559,1546.76449
560,199.32434
561,-24.63447
562,-194.55344
563,-124.15678
564,2020.5961
565,-82.2
566,323.51387
567,-71.88703
568,-13.83592
569,1614.79818
570,328.53543
571,496.22799
572,-94.39505
573,0.0
574,627.22419
575,0.0
576,1321.60976
577,1986.08266
578,541.68477
579,1830.31825
580,452.41801
581,-37.95473
582,-145.61143
583,0.0
584,1499.46218
585,938.3799
586,1214.84496
587,4396.22283
588,2756.97229
589,2205.71087
590,278.00562
591,-152.98191
592,0.0
593,-22.92779
594,3629.99093
595,-117.58464
596,-6.70496
597,-144.26911
598,-95.38409
599,-163.54917
600,213.32203
601,550.13064
602,1805.61906
603,-119.38159
604,2148.61441
605,1310.36205
606,0.0
607,45.2082
608,124.06479
609,-18.91638
610,0.0
611,0.0
612,2523.30826
613,2292.53482
614,0.0
615,123.97247
616,1822.34729
617,0.0
618,2275.87262
619,-44.98765
620,0.0
621,117.13459
622,0.0
623,119.98232
624,1492.22646
625,-27.15481
626,3311.46902
627,1275.18522
628,1355.16875
629,925.4758
630,-3.29031
631,1378.39859
632,2345.26701
633,0.0
634,2836.43135
635,252.27526
636,-20.04001
637,876.69999
638,-133.13654
639,-2.20804
640,-226.50554
641,0.0
642,0.0
643,-4.93669
644,-133.56686
645,248.98833
646,0.0
647,1418.37786
648,-18.95295
649,615.57412
650,-195.09498
651,-23.44805
652,413.39108
653,1693.84203
654,610.71092
655,518.42056
656,331.70139
657,0.0
658,0.0
659,1453.06698
660,-215.02556
661,-36.764
662,-85.36589
663,1712.39137
664,-2.71256
665,394.83101
666,0.0
667,-215.75323
668,0.0
669,-56.3228
670,963.98005
671,4338.21794
672,338.93932
673,643.14251
674,1553.51308
675,-99.02283
676,885.78137
677,379.17507
678,0.0
679,-9.48173
680,0.0
681,-0.89813
682,219.95665
683,631.15642
684,-57.6201
685,38.73204
686,567.09051
687,-132.7964
688,902.10596
689,79.98776
690,2782.42188
691,-60.28796
692,0.0
693,631.19078
694,0.0
695,0.0
696,1374.71998
697,1083.72226
698,0.0
699,35.56158
700,310.21652
701,658.32218
702,605.88184
703,1535.75692
704,1654.36197
705,-30.95169
706,1722.06873
707,-62.48138
708,1540.50107
709,20.29893
710,1420.02952
711,8933.30805
712,0.0
713,1273.8708
714,-100.40387
715,-22.79323
716,2027.77759
717,1523.42817
718,-88.49199
719,0.0
720,1298.35894
721,545.16611
722,195.06391
723,-140.8595
724,184.40509
725,2290.00069
726,1011.91437
727,2296.87635
728,929.56399
729,4334.59331
730,0.0
731,890.80968
732,868.50799
733,650.53009
734,-169.5691
735,917.55171
736,663.12213
737,-43.31081
738,5955.91525
739,-37.61395
740,-131.39485
741,-179.88416
742,1282.65076
743,31.23712
744,34.12709
745,1086.42569
746,537.36853
747,850.76943
748,376.3248
749,-27.90878
750,1194.20401
751,-67.30735
752,725.94269
753,0.0
754,-150.65215
755,-12.42888
756,-90.5925
757,1214.15132
758,0.0
759,0.0
760,125.29378
761,7673.44938
762,2518.92927
763,2811.3966
764,365.84723
765,2711.83231
766,0.0
767,-53.60541
768,122.77793
769,2037.89947
770,0.0
771,1447.60862
772,-43.11511
773,-200.13464
774,413.65366
775,-64.26525
776,477.03888
777,0.0
778,1730.60577
779,2353.51414
780,1318.69395
781,-1.24422
782,2898.98066
783,299.06818
784,-46.36205
785,558.15404
786,30.81079
787,151.44685
788,0.0
789,0.0
790,2737.25674
791,-86.74197
792,-3.35605
793,720.09006
794,2171.33489
795,0.0
796,751.32773
797,573.43612
798,-87.73266
799,2212.88686
800,-138.17383
801,0.0
802,-82.91431
803,0.0
804,382.49682
805,18.3105
806,529.3733
807,1937.8749
808,676.56178
809,0.0
810,-81.63314
811,-96.91509
812,-158.41975
813,0.0
814,-202.92519
815,-91.64448
816,-86.65647
817,0.0
818,273.65186
819,0.0
820,-1.80512
821,0.0
822,451.05954
823,1374.9794
824,-114.0833
825,928.3318
826,5411.03849
827,0.0
828,2366.25349
829,53.43424
830,448.22469
831,153.51107
832,3052.27444
833,0.0
834,0.0
835,0.0
836,-101.35738
837,0.0
838,125.76592
839,58.69522
840,347.90838
841,0.0
842,-65.50132
843,0.0
844,2922.74294
845,75.65956
846,688.95438
847,0.0
848,1217.56377
849,0.0
850,-34.48223
851,-133.37775
852,-111.58649
853,1244.05743
854,14.43093
855,1217.8305
856,-90.37207
857,1122.06595
858,-92.0202
859,0.0
860,0.0
861,1621.55472
862,952.69383
863,378.04818
864,350.98238
865,1045.1663
