Time;Open;High;Low;Last;Change;Volume;Open Int
1/21/19;20,572;20,572;20,572;20,572;-0,266;740;13113
1/18/19;20,838;20,838;20,838;20,838;0,121;158;13098
1/17/19;20,717;20,717;20,717;20,717;0,475;589;13034
1/16/19;20,242;20,242;20,242;20,242;0,295;335;13073
1/15/19;19,947;19,947;19,947;19,947;0,277;313;12933
1/14/19;19,67;19,67;19,67;19,67;-0,137;205;12868
1/11/19;19,807;19,807;19,807;19,807;0,234;110;12818
1/10/19;19,573;19,573;19,573;19,573;0,05;295;12768
1/9/19;19,523;19,523;19,523;19,523;-0,145;811;13050
1/8/19;19,668;19,668;19,668;19,668;0,246;766;13050
1/7/19;19,422;19,422;19,422;19,422;-0,337;1021;13357
1/4/19;19,759;19,759;19,759;19,759;0,493;585;13317
1/3/19;19,266;19,266;19,266;19,266;-0,087;1642;13420
1/2/19;19,353;19,353;19,353;19,353;0,068;316;13365
;;;;4,494592956;;;
